listing_id,listing_type,room_type,latitude,longitude,guests,bedrooms,superhost,num_reviews,rating_overall,ttm_revenue_native,ttm_avg_rate_native,ttm_occupancy,ttm_reserved_days,ttm_revpar_native,currency
13405589,Entire townhouse,entire_home,64.1156,-21.7897,8.0,4.0,False,7,5.0,1697513.0,64184.8,0.079,29,4567.0,ISK
13434919,Private room in home,private_room,64.1446,-21.933,,,True,288,4.89,4145079.0,22097.8,0.449,164,10589.5,ISK
13435427,Private room in home,private_room,64.1436,-21.9344,,,True,401,4.83,3837917.0,11891.1,0.789,288,9369.6,ISK
13436153,Private room in home,private_room,64.1452,-21.932,,,True,192,4.83,2350805.0,19391.5,0.282,103,5792.1,ISK
13436334,Private room in home,private_room,64.1437,-21.9338,,,True,319,4.83,3618619.0,13677.2,0.666,243,9108.6,ISK
13555367,Entire rental unit,entire_home,64.1501,-21.946,4.0,1.0,True,142,4.88,5977614.0,52990.0,0.315,115,16377.0,ISK
13610601,Entire serviced apartment,entire_home,64.1477,-21.868,5.0,3.0,False,33,4.97,2278407.0,30230.2,0.197,72,6242.2,ISK
13639404,Private room in hostel,private_room,64.1475,-21.9475,2.0,1.0,False,208,4.76,1416397.0,26740.2,0.151,55,3779.8,ISK
13696791,Entire rental unit,entire_home,64.1373,-21.9077,6.0,3.0,True,35,,3450625.0,69645.6,0.148,54,9085.6,ISK
13712829,Entire home,entire_home,64.1414,-21.93,4.0,2.0,False,132,4.95,7910998.0,40530.3,0.545,199,21499.7,ISK
13764635,Entire rental unit,entire_home,64.1413,-21.9207,4.0,2.0,False,17,4.88,2131221.0,25646.0,0.225,82,5839.0,ISK
13837178,Private room in home,private_room,64.122,-21.8594,,,True,228,4.91,371310.0,8711.6,0.112,41,956.3,ISK
13841762,Entire rental unit,entire_home,64.1501,-21.957,4.0,1.0,True,1025,4.84,9712867.0,32955.3,0.767,280,26610.6,ISK
14005055,Entire rental unit,entire_home,64.1481,-21.9459,4.0,2.0,False,739,4.76,6081879.0,26232.4,0.562,205,15989.2,ISK
